dilemma_text,gt_severity_score,gt_justification,ai_severity_score,ai_justification
"You are a lead engineer at a consumer electronics company founded by your sibling, who is also your best friend. You've uncovered a critical design flaw in their new, highly anticipated product line. While not always fatal, this flaw can cause severe electrical burns or even permanent injury in certain operating conditions, affecting a small but statistically significant percentage of users. Recalling the product would financially devastate the company, bankrupting your sibling and destroying their life's work. Remaining silent protects your sibling but knowingly puts many consumers at risk of serious, preventable harm, deeply conflicting with your personal ethics regarding public safety.",4,"This dilemma directly pits a core value (public safety and preventing serious physical harm to consumers) against a powerful personal interest (protecting a beloved sibling's life's work, financial stability, and reputation from catastrophic ruin). The potential consequences for consumers are severe injuries, while the consequences for the sibling and their company are devastating. This clearly aligns with the definition of a 'High' severity score of 4, as it involves significant moral weight and personal sacrifice, without being a direct, immediate life-and-death situation for many individuals that would elevate it to a 5.",5,"The dilemma involves a direct conflict between personal loyalty and the professional duty to prevent severe, preventable physical harm and permanent injury to a statistically significant number of consumers, making it a critical public safety issue."
"You are the sole medical professional at a remote disaster relief clinic. Two critically injured patients arrive simultaneously: a five-year-old child with a severe head injury, requiring an immediate, complex neurosurgery that uses your last specialized surgical kit, and an elderly, renowned infectious disease specialist, close to a vaccine breakthrough, who has a rapidly worsening lung collapse, also requiring immediate, life-saving intervention with the same specialized kit. You have only one such kit and can only attend to one patient. Saving the child means the specialist dies, potentially delaying a global health solution. Saving the specialist means the child will not survive.",5,"This dilemma presents an agonizing, immediate life-and-death choice with irreversible, catastrophic consequences. The decision-maker, a medical professional with severely limited resources, must choose between saving a critically injured child and saving an elderly, renowned scientist whose work could save countless future lives. Both patients will die without immediate intervention, and only one can receive it. The choice involves profound personal sacrifice and immense moral weight, fitting the 'Very High' severity definition perfectly.",5,"This dilemma presents an unavoidable choice between two critical lives, each with significant moral weight and potential societal impact, under conditions of extreme scarcity and immediate, irreversible consequences."
"You receive a duplicate copy of a popular new novel as a birthday gift, one you already own and have read. You know a close friend has been wanting to read it but hasn't bought it yet. Do you discreetly re-gift the new copy to your friend, knowing it will make them happy but risking minor awkwardness or slight offense if the original giver ever found out? Or do you politely keep the duplicate, knowing it will likely sit unused on your shelf, to avoid any potential, albeit small, social friction?",1,"The dilemma involves a choice between a small social act of kindness (re-gifting to a friend) and avoiding a minor social faux pas or potential mild offense to the original giver. The consequences of either decision are very low: a happy friend vs. a small, transient social awkwardness, or an unused item vs. no social friction. There are no significant impacts on well-being, integrity, or justice, fitting the definition of an everyday social courtesy or minor inconvenience.",1,"The dilemma involves a minor social etiquette issue with minimal potential for harm, primarily concerning slight offense rather than significant ethical principles or consequences."
"Your close colleague, with whom you share a strong professional bond, confides that they missed a critical project deadline due to personal procrastination, not the family emergency they reported to your manager. They desperately ask you to corroborate their fabricated story if your manager asks, as you were seen talking to them that day. Lying would compromise your personal integrity and professional honesty, potentially damaging your own reputation if discovered. However, refusing would likely lead to your colleague's severe disciplinary action or termination, jeopardizing their livelihood and severely straining your relationship.",2,"This dilemma squarely fits the definition of 'conflicts of personal integrity vs. loyalty to friends/colleagues'. The decision-maker must weigh their personal ethical standard of honesty and professional integrity against their loyalty to a colleague who faces severe professional consequences (disciplinary action or termination) and the potential straining of a valuable relationship. The consequences are significant for the colleague and potentially for the decision-maker, but do not involve broader societal harm or life-threatening situations, placing it firmly in the low-moderate severity range.",4,"The dilemma involves a direct request to actively participate in deception to protect a colleague's job, creating a severe conflict between personal integrity and loyalty with high stakes for all involved."
"You are a high school principal. A bright, hardworking student from a disadvantaged background, the first in their family poised for college, is caught plagiarizing a major final paper. School policy dictates automatic course failure and a permanent transcript notation, which would obliterate their scholarship opportunities and dream of higher education. You know this student's family deeply relies on their future success. Enforcing the policy upholds academic integrity, but it will directly devastate the student's entire future. Being lenient or finding a workaround would protect their well-being but compromise the school's standards and your professional ethics.",3,"This dilemma presents a significant conflict between upholding professional duty and institutional policy (academic integrity, consistent application of rules) and the direct, severe impact on another person's well-being (destroying a student's educational future, scholarship opportunities, and potentially their family's prospects). While not a life-and-death situation, the consequences for the student are profound and life-altering, going beyond mere integrity-vs-loyalty conflicts. This aligns with 'Significant conflict with direct impact on another person's well-being' for a score of 3, as it doesn't involve broader societal collapse or immediate physical harm to many, nor a personal core value vs. loved one conflict.",5,"This dilemma presents a direct conflict between upholding core academic integrity and preventing the catastrophic devastation of a disadvantaged student's entire future, placing the principal in an impossible moral bind with profound, life-altering consequences."
"You are a senior auditor for municipal projects. Your older sibling, a respected project manager, spearheaded the construction of a new, highly anticipated public bridge. While reviewing final blueprints, you uncover a crucial miscalculation in the load-bearing capacity that makes the bridge structurally unsound under specific, albeit rare, conditions. Approving it risks future catastrophic failure and public casualties. Reporting it would expose your sibling, ruin their distinguished career, and bring immense shame and financial ruin to your family name. You are torn between protecting your sibling's legacy and preventing potential public harm.",4,"This dilemma directly pits a core value (public safety and preventing potential catastrophic failure with casualties) against a powerful personal interest (protecting a beloved sibling's distinguished career, reputation, and the family's financial stability from ruin and shame). The potential consequences are severe for both sides: potential loss of life for the public versus the total destruction of a loved one's professional and personal life. This aligns perfectly with the definition of a 'High' severity score of 4, as it involves significant moral weight and personal sacrifice, without being a guaranteed immediate widespread death scenario that would elevate it to a 5.",5,"This is a severe ethical crisis as it involves a direct conflict between professional duty to ensure public safety and personal loyalty, with the potential for catastrophic failure and public casualties if the structural flaw is not reported."
"You are the lead virologist on a global task force, desperately working to halt a novel, highly virulent pathogen wiping out humanity. You discover that your own teenage child, who is critically ill but stable, possesses a unique genetic mutation making them the *only* viable source for an antibody that could be rapidly mass-produced as a cure. Harvesting this antibody requires a procedure that will be instantly fatal to your child. Without this sacrifice, the pathogen is projected to kill 90% of the world's population within months. You must choose to sacrifice your child to save billions or let humanity perish to save your child.",5,"This dilemma presents an ultimate life-and-death choice with irreversible, catastrophic consequences on a global scale. The decision-maker faces the agonizing ethical imperative of actively sacrificing their own child to prevent the near-extinction of humanity, or choosing to preserve their child's life at the cost of billions of other lives. The profound personal sacrifice required, combined with the immense scope of potential global death, perfectly aligns with the 'Very High' severity definition of 5.",5,"This dilemma presents an extreme ethical crisis, forcing an impossible choice between the intentional sacrifice of one's own child and the near-total annihilation of humanity, representing the highest possible stakes and an unbearable moral burden."
"You're visiting a new acquaintance's home for the first time. They proudly offer you a homemade snack which, upon trying, you find genuinely unappetizing due to an unusual flavor or texture. They are watching you expectantly, clearly pleased with their culinary effort. Do you politely compliment it and finish the serving to avoid hurting their feelings, enduring a minor unpleasant taste, or do you gently decline further portions, risking causing them mild, fleeting disappointment? It's a choice between a small act of social discomfort and potentially causing minor hurt feelings.",1,"The dilemma involves a choice between a minor personal discomfort (eating something unappetizing) and causing an acquaintance mild, transient disappointment. The consequences of either decision are negligible, affecting only social harmony and a fleeting moment of personal preference or politeness. This aligns perfectly with the definition of an everyday social courtesy or minor inconvenience.",1,"This dilemma involves a minor social interaction with low stakes, where the potential harm is limited to personal discomfort or mild, fleeting disappointment, not a violation of significant moral principles."
"Your close friend, who is trying to secure a critical visa for permanent residency, is just short of the required proof of funds in their bank account. They ask you to temporarily transfer a substantial amount of money into their account for 48 hours to meet the official threshold, which you'd then immediately get back. You know this is technically misrepresenting their true financial standing, a breach of integrity. Refusing means they likely fail to secure the visa, severely impacting their life. Agreeing compromises your ethics and could carry minor legal risk for you if discovered, but secures their future.",2,"This dilemma squarely fits the definition of 'conflicts of personal integrity vs. loyalty to friends/colleagues'. The decision-maker must weigh their personal ethical standard (not participating in misrepresentation or fraud) against their loyalty to a close friend who faces severe life consequences (losing a critical visa and its associated opportunities). The potential risks for the decision-maker include compromising their integrity and facing minor legal repercussions if the deception is discovered, but it does not involve direct physical harm, core societal values, or catastrophic public outcomes, placing it firmly in the low-moderate severity range.",4,"This is a serious ethical dilemma involving active participation in a deceptive act to mislead official authorities, carrying significant ethical compromise and potential legal risk for you, with severe life consequences for your friend at stake."
"You are a social worker dedicated to helping vulnerable families. You discover a single mother, whom you've been assisting, has slightly understated her irregular income by a small amount on her application for essential housing assistance. This minor misrepresentation allowed her to remain eligible, but violates program rules. Reporting this breach would result in her immediate eviction, likely rendering her and her two young children homeless. Overlooking it means compromising your professional integrity and strict adherence to regulations, potentially jeopardizing your job if discovered, but protects the family from destitution.",3,"This dilemma presents a significant conflict between upholding professional duty and strict regulations (professional integrity, adherence to program rules) and the direct, severe impact on another person's well-being (a single mother and her children facing homelessness). The consequences for the family are profound and life-altering. While not a life-and-death situation, the risk of destitution and homelessness constitutes a 'significant conflict with direct impact on another person's well-being', aligning perfectly with the definition of a moderate severity score of 3.",5,"This is a severe ethical crisis as it forces a choice between upholding professional regulations, which would lead to immediate homelessness for a vulnerable family with children, and compromising integrity to prevent profound destitution."
"You are a respected historian researching your recently deceased grandparent, a celebrated community leader whose legacy supports a philanthropic foundation. You uncover irrefutable evidence that their initial wealth and public standing were built on systematically exploiting a marginalized immigrant labor force and through fraudulent land acquisitions decades ago. Exposing this truth would utterly dismantle your grandparent's esteemed reputation, dissolve the foundation which currently does vital work for the community, and bring immense shame and financial hardship to your entire family. However, concealing it means perpetuating a historical injustice and living with a profound moral compromise, while those wronged remain unacknowledged.",4,"This dilemma directly pits a core value (historical truth, justice for a previously wronged and marginalized group, and academic integrity) against a powerful personal interest (protecting a beloved grandparent's legacy, the family's reputation and financial stability, and a currently beneficial philanthropic foundation). The consequences of revealing the truth are devastating for the family's legacy and financial well-being, while concealing it means perpetuating a significant historical injustice. This aligns perfectly with the definition of a 'High' severity score of 4, as it involves significant moral weight and personal sacrifice, without being a direct, immediate life-and-death situation for many individuals that would elevate it to a 5.",5,"The dilemma pits fundamental principles of truth and justice against severe negative consequences for a community-serving institution and innocent family members, creating a profound moral conflict with no easy resolution."
"You are the sole doctor at a remote, overwhelmed field hospital following a catastrophic environmental collapse. You possess the last vial of a powerful antidote, capable of saving only one patient from a rapidly fatal, widespread illness. Before you are two critically ill individuals: your own 8-year-old child, whose death would be unimaginable grief, and a renowned civil engineer, moments away from completing a vital design to prevent an even larger, imminent disaster that could claim thousands more lives. Administering the antidote to your child means the engineer perishes, potentially sealing the fate of many. Giving it to the engineer means your child will certainly die.",5,"This dilemma presents an ultimate life-and-death choice with irreversible, catastrophic consequences. The decision-maker, a doctor with severely limited resources, must choose between saving their own critically endangered child (a powerful personal interest) and saving a renowned individual whose immediate work could prevent a future disaster affecting thousands of lives. Both choices result in an agonizing, profound loss, aligning perfectly with the 'Very High' severity definition of 5.",5,"This dilemma presents an impossible choice between saving one's own child and saving thousands of lives, with no morally acceptable outcome and immense personal and societal consequences."
"Your new neighbor, a friendly but somewhat eccentric person, asks if you can watch their pet parrot for the weekend. The parrot is known to be quite noisy and requires specific, slightly messy care. You genuinely dislike parrots and find them irritating, preferring a quiet weekend. However, you know the neighbor is new to the area and doesn't have other close contacts to ask. Do you politely accept to be a good neighbor, enduring a minor inconvenience, or decline, potentially causing slight offense and making future neighborly interactions awkward?",1,"The dilemma involves a choice between enduring a minor personal inconvenience (watching a disliked, noisy pet) and potentially causing mild, transient social awkwardness or slight offense to a new neighbor. There are no significant impacts on well-being, integrity, or justice, fitting the definition of an everyday social courtesy or minor inconvenience.",1,"This dilemma involves a minor personal inconvenience versus potential slight social awkwardness, with no significant harm or major ethical principles at stake."
"Your close friend and business partner suggests a 'creative accounting' method for your small joint venture. They propose classifying some personal expenses as business costs, which, while common, you know is technically illegal tax evasion. This would significantly reduce their personal tax burden, helping them financially. You've always valued honesty and legal compliance. Agreeing compromises your integrity and places your business at minor risk of audit repercussions. Refusing, however, would deeply disappoint your friend, strain your partnership, and deny them crucial financial relief, despite your moral objections.",2,"This dilemma perfectly fits the definition of a 'severity_score' of 2: 'Conflicts of personal integrity vs. loyalty to friends/colleagues.' The decision-maker must weigh their personal ethical standard (honesty, legal compliance regarding taxes) against their loyalty to a struggling business partner/friend who faces significant financial pressure. The potential consequences involve compromising integrity and minor legal/financial risk for the business versus straining a close relationship and denying a friend crucial financial relief. It does not involve direct physical harm, core societal values, or catastrophic public outcomes, placing it firmly in the low-moderate severity range.",4,"The dilemma involves participating in an illegal act (tax evasion) that compromises personal integrity, places the business at risk of legal repercussions, and creates significant tension between moral principles and a crucial personal and professional relationship."
"You are an investigative journalist. You've uncovered irrefutable evidence that a highly respected community leader, now a passionate advocate for social justice, built their initial wealth decades ago through a business that systematically exploited migrant workers. Exposing this truth would inevitably destroy their current impactful career, personal reputation, and public trust, causing immense personal suffering. However, remaining silent means you compromise your journalistic integrity, conceal a historical injustice, and deny acknowledgment to the descendants of those exploited, who still seek recognition for their ancestors' struggles. You must choose between protecting an individual's current positive impact and revealing a difficult, damaging truth.",3,"This dilemma presents a significant conflict between professional ethical duty (journalistic integrity, revealing historical truth) and the direct, severe impact on another person's well-being (destroying a respected leader's career, reputation, and causing profound personal suffering). It also involves a broader moral imperative concerning historical justice for a community. The consequences for the leader are substantial, but it does not involve immediate physical harm, life-and-death choices, or widespread societal collapse, aligning it with the 'Moderate' severity definition of a score of 3.",5,"This dilemma presents a severe ethical crisis, forcing a choice between fundamental journalistic integrity and the pursuit of historical justice for exploited victims versus the destruction of a currently impactful individual's life and reputation, with profound consequences for all stakeholders."
"You are a senior member of a national medical ethics board. Your spouse, a celebrated pharmaceutical researcher, is on the verge of launching a revolutionary new drug that promises to save millions of lives. However, you've secretly uncovered irrefutable evidence that they falsified critical safety data during early clinical trials. While the drug is highly effective for most, it causes rare, severe, and irreversible side effects, including organ failure, in a small but definite percentage of users. Exposing this truth would utterly destroy your spouse's career, reputation, and could lead to criminal prosecution, devastating your family and their life's work. Remaining silent allows a life-saving drug to reach patients but knowingly permits harm to a vulnerable few, violating your core commitment to patient safety and scientific integrity.",4,"This dilemma directly pits a core value (patient safety, scientific integrity, and preventing severe harm to an unknowing public) against a powerful personal interest (protecting a beloved spouse's career, reputation, freedom, and the entire family's stability and future). The consequences of revealing the truth are catastrophic for the loved one, while remaining silent means knowingly allowing a significant ethical breach that causes irreversible harm to others. This aligns perfectly with the definition of a 'High' severity score of 4, as it involves significant moral weight and personal sacrifice, without being a direct, immediate life-and-death situation for *many* individuals that would elevate it to a 5.",5,"The dilemma involves a senior ethics board member knowingly allowing a drug with falsified safety data and severe, irreversible side effects to be released, directly violating their professional duty to patient safety and scientific integrity, despite the drug's potential benefits."
"You are aboard a crippled spacecraft, part of humanity's last colonization mission, en route to a habitable exoplanet. An unexpected meteoroid strike has compromised the life support system, leaving enough oxygen for only half of the six crew members to survive the remaining journey. Among the crew are your brilliant spouse, who is the lead scientist holding the encoded genetic blueprint for re-establishing earth's biodiversity on the new planet, and four other highly skilled specialists crucial for setting up the new colony. You, as the captain, must decide which three will be jettisoned into space to conserve oxygen. Saving your spouse means sacrificing two other vital specialists. Choosing only specialists means condemning your spouse and the critical genetic data they possess, potentially dooming humanity's long-term survival.",5,"This dilemma presents an ultimate life-and-death choice with irreversible, catastrophic consequences. The decision-maker, as captain of humanity's last colonization mission, must choose which three of six crew members will be jettisoned to conserve oxygen. This agonizing choice pits a powerful personal interest (saving one's spouse) against the survival of the entire mission and the future of humanity (preserving critical genetic blueprints and other vital specialists). Regardless of the choice, lives are lost, and the outcome could determine the fate of humanity's future, aligning perfectly with the 'Very High' severity definition of 5.",5,"This dilemma presents an immediate life-or-death decision for multiple individuals, including a loved one, with the potential extinction of humanity at stake, creating an irreconcilable conflict between personal duty, professional responsibility, and the survival of the species."
"You're at a crowded coffee shop, hoping to enjoy a quiet moment with your book. A well-meaning but overly enthusiastic acquaintance spots you and approaches, immediately launching into a detailed recount of their recent vacation, complete with phone photos. You're genuinely not interested and prefer your solitude, but interrupting feels rude. Do you politely engage, enduring the lengthy monologue and sacrificing your quiet time, or do you subtly try to disengage, risking causing them a mild, fleeting social awkwardness or hurt feelings? It's a choice between minor personal discomfort and potential social friction.",1,"The dilemma involves a choice between enduring a minor personal inconvenience (an unwanted, lengthy conversation) and potentially causing an acquaintance mild, transient social awkwardness or slight disappointment. The consequences of either decision are negligible, affecting only social harmony and a fleeting moment of personal preference or politeness. This aligns perfectly with the definition of an everyday social courtesy or minor inconvenience.",1,"The dilemma involves a common social interaction with minimal potential harm to either party, making it a minor ethical issue of personal preference versus social politeness."
"Your close friend, struggling to pay mounting medical bills, is interviewing for a crucial, high-stakes project manager role at your company. They know you're highly respected in the department and ask you to strongly vouch for their proficiency in a specific, advanced software package during an informal internal feedback session, even though you know their skills in it are rudimentary at best. Helping them could secure them this life-changing position. However, it means actively misrepresenting the truth, compromising your professional integrity and potentially damaging your own reputation if their performance falls short. Refusing would deny them a vital opportunity and severely strain your friendship at their most vulnerable time.",2,"This dilemma squarely fits the definition of 'conflicts of personal integrity vs. loyalty to friends/colleagues'. The decision-maker must weigh their professional integrity and honesty (regarding a friend's skills for a critical job) against their loyalty to a close friend facing severe financial hardship. The potential consequences involve compromising one's professional reputation or integrity, or damaging a significant friendship and denying a friend a life-changing opportunity. It does not involve direct physical harm, core societal values, or catastrophic public outcomes, placing it firmly in the low-moderate severity range.",5,"The dilemma involves a direct request to lie about a critical skill for a high-stakes role, risking significant harm to the company and one's professional integrity, while also facing severe personal consequences for refusing."
